"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061061","muscle structure development","54/477","573/18842",0.0942408376963351,3.72261187395041,10.666485695984,6.63988204141673e-17,3.29226278762973e-13,3.29226278762973e-13,"EFEMP2/RBPMS2/EGR2/PLEKHO1/NID1/SYNE1/ZFPM2/TGFBR1/SORBS2/SGCE/DOCK2/GREM1/EDNRA/LDB3/CAV2/FHL1/JPH2/ADAMTS5/MYLK/POPDC2/NFATC1/RORA/ITGA11/ADAM12/MYL9/SVIL/RGS2/BOC/PRICKLE1/TAGLN/MEIS1/PDLIM4/QKI/MEF2C/LMOD1/CSRP2/DES/MYH11/SGCD/ANK2/PGM5/CAV1/LAMB2/BASP1/COL3A1/PDLIM7/COL6A1/PDLIM3/MYOCD/PRKD1/ASB2/SMTN/CFL2/CSRP1",54
"GO:0030198","extracellular matrix organization","37/477","278/18842",0.133093525179856,5.257333755637,11.5249755914265,1.25327905121227e-16,3.29226278762973e-13,3.29226278762973e-13,"EFEMP2/LOXL1/ADAMTS2/NID1/POSTN/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/AEBP1/ATP7A/CCDC80/HMCN1/ADAMTS5/AXIN2/COL13A1/DDR2/COL16A1/PRICKLE1/PDPN/ELN/ADAMTS1/COL12A1/RECK/MMP11/CTSK/MYH11/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/COL3A1/COL8A2/CYP1B1/MMP2",37
"GO:0043062","extracellular structure organization","37/477","279/18842",0.132616487455197,5.23849026547343,11.4948923201663,1.41171607169275e-16,3.29226278762973e-13,3.29226278762973e-13,"EFEMP2/LOXL1/ADAMTS2/NID1/POSTN/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/AEBP1/ATP7A/CCDC80/HMCN1/ADAMTS5/AXIN2/COL13A1/DDR2/COL16A1/PRICKLE1/PDPN/ELN/ADAMTS1/COL12A1/RECK/MMP11/CTSK/MYH11/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/COL3A1/COL8A2/CYP1B1/MMP2",37
"GO:0045229","external encapsulating structure organization","37/477","280/18842",0.132142857142857,5.21978137166816,11.4649530359899,1.58931343839234e-16,3.29226278762973e-13,3.29226278762973e-13,"EFEMP2/LOXL1/ADAMTS2/NID1/POSTN/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/AEBP1/ATP7A/CCDC80/HMCN1/ADAMTS5/AXIN2/COL13A1/DDR2/COL16A1/PRICKLE1/PDPN/ELN/ADAMTS1/COL12A1/RECK/MMP11/CTSK/MYH11/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/COL3A1/COL8A2/CYP1B1/MMP2",37
"GO:0001944","vasculature development","59/477","714/18842",0.0826330532212885,3.2640922196971,9.9399447378969,9.56274991172102e-16,1.58473891537041e-12,1.58473891537041e-12,"EFEMP2/LOXL1/EGR2/HSPB6/PTPN14/SPARC/SERPINE1/MCAM/CCL2/TGFBR1/AKT3/PECAM1/PLXDC1/AMOTL1/COL1A2/GREM1/NRP2/EDNRA/IGFBP7/ATP7A/MYLK/PKD2/NFATC1/RORA/ADAM12/ACKR3/PTGIS/ATP2B4/DCN/MFGE8/PDPN/THBS4/PRKCB/MEIS1/ACTA2/ADAMTS1/THBS1/QKI/PTPRM/C3/SERPINF1/RECK/MEF2C/CDH5/AGTR1/COL4A1/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MYOCD/MMP2/PRKD1",59
"GO:0003012","muscle system process","46/477","477/18842",0.0964360587002096,3.80932540467369,10.0157036903284,6.57096705255673e-15,9.07450549958084e-12,9.07450549958084e-12,"CRYAB/PRKG1/SORBS2/TPM2/PLN/KCNE4/EDNRA/JPH2/TACR2/MYLK/PTGER3/CD38/ATP1A2/KCNJ8/FBXO32/STC1/MYL9/CHRNA3/RGS2/ATP2B4/IL6ST/DTNA/MEIS1/ACTA2/SYNM/KCNMA1/GJA1/FLNA/IGFBP5/PPP1R12B/LMOD1/DES/MYH11/ANK2/CAV1/F2R/SSPN/GJC1/CALD1/CACNA2D1/HTR2B/MYOCD/PRKD1/ASB2/SMTN/CNN1",46
"GO:0001568","blood vessel development","56/477","687/18842",0.0815138282387191,3.2198816596938,9.552691728465,9.87890008853661e-15,1.16937951619449e-11,1.16937951619449e-11,"EFEMP2/LOXL1/EGR2/HSPB6/SPARC/SERPINE1/MCAM/CCL2/TGFBR1/AKT3/PECAM1/PLXDC1/AMOTL1/COL1A2/GREM1/NRP2/EDNRA/IGFBP7/ATP7A/MYLK/PKD2/RORA/ADAM12/ACKR3/PTGIS/ATP2B4/DCN/MFGE8/THBS4/PRKCB/MEIS1/ACTA2/ADAMTS1/THBS1/QKI/PTPRM/C3/SERPINF1/RECK/MEF2C/CDH5/AGTR1/COL4A1/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MYOCD/MMP2/PRKD1",56
"GO:0006936","muscle contraction","40/477","375/18842",0.106666666666667,4.21344514325646,10.1298740993297,1.50789558016776e-14,1.56180284715875e-11,1.56180284715875e-11,"CRYAB/PRKG1/TPM2/PLN/KCNE4/EDNRA/JPH2/TACR2/MYLK/PTGER3/CD38/ATP1A2/KCNJ8/STC1/MYL9/CHRNA3/RGS2/ATP2B4/DTNA/ACTA2/SYNM/KCNMA1/GJA1/FLNA/PPP1R12B/LMOD1/DES/MYH11/ANK2/CAV1/F2R/SSPN/GJC1/CALD1/CACNA2D1/HTR2B/MYOCD/PRKD1/SMTN/CNN1",40
"GO:0035239","tube morphogenesis","57/477","776/18842",0.0734536082474227,2.90149452116968,8.71787492757533,4.61414664371954e-13,4.24809100998445e-10,4.24809100998445e-10,"EFEMP2/RBPMS2/HSPB6/MTHFR/SPARC/SERPINE1/DLC1/MCAM/CCL2/TGFBR1/DACT1/AKT3/PLXDC1/AMOTL1/GREM1/NRP2/EDNRA/IGFBP7/MYLK/PKD2/RORA/ADAM12/ACKR3/PTGIS/ATP2B4/DCN/PRICKLE1/MFGE8/THBS4/PRKCB/MEIS1/ADAMTS1/THBS1/QKI/PTPRM/KIF26B/C3/SERPINF1/RECK/MEF2C/CDH5/AGTR1/COL4A1/ADAMTS12/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MMP2/PRKD1/ASB2",57
"GO:0009887","animal organ morphogenesis","49/477","620/18842",0.0790322580645161,3.12185703658619,8.65824041632096,1.64783792075782e-12,1.36539850113993e-09,1.36539850113993e-09,"PBX3/EFEMP2/RBPMS2/SPARC/MGP/SERPINE1/DLC1/CCL2/ZFPM2/TGFBR1/MFAP5/MSN/COL1A2/GREM1/NRP2/EDNRA/RAB23/FHL1/ADAMTS5/MYLK/AXIN2/COL13A1/PKD2/STC1/ALDH1A3/FAM20C/DCN/PRICKLE1/ELN/MEIS1/ACTA2/EFEMP1/PTPRM/KIF26B/MEF2C/TUBA1A/FLI1/GLI3/ACTG2/CAV1/MEIS2/FGFR1/SLIT2/BASP1/COL3A1/HTR2B/MMP2/ASB2/EVL",49
"GO:0003013","circulatory system process","46/477","564/18842",0.0815602836879433,3.2217166986336,8.63335486900278,2.78900532060775e-12,2.10088164423234e-09,2.10088164423234e-09,"FERMT2/WWTR1/PRKG1/SLC24A3/PLN/PECAM1/COL1A2/ITGA1/PCSK5/KCNE4/EDNRA/JPH2/TACR2/ABCC3/POPDC2/CD38/ATP1A2/KCNJ8/STC1/RGS2/ATP2B4/ELN/AKAP12/KCNMA1/GJA1/ITGA4/FLNA/CDH5/DES/ABCC2/AGTR1/SERPING1/SGCD/HSPB7/ANK2/CAV1/F2R/SLIT2/SLC19A1/GJC1/FYN/VEGFC/CACNA2D1/HTR2B/ZEB2/MMP2",46
"GO:0007507","heart development","39/477","438/18842",0.089041095890411,3.5172166221533,8.5904760588726,9.9436638191081e-12,6.86609986709414e-09,6.86609986709414e-09,"DLC1/HEG1/ZFPM2/TGFBR1/SORBS2/PCSK5/GREM1/NRP2/EDNRA/LDB3/JPH2/ADAMTS5/POPDC2/AXIN2/PKD2/NFATC1/RGS2/HOPX/PRICKLE1/ELN/MEIS1/PDLIM4/GJA1/MEF2C/MYH11/SGCD/HSPB7/CDH11/ANK2/SLIT2/BASP1/VCAM1/COL3A1/PDLIM7/PDLIM3/HTR2B/MYOCD/MMP2/ASB2",39
